condition,correct,example_id,margin,prediction,rank,seed,target
entailed,1,0,12.949403762817383,18,1,11,18
fact_mismatch,1,1,27.069355010986328,6,1,11,6
rule_lhs_mismatch,1,2,27.702098846435547,6,1,11,6
consequent_swap,1,3,10.823835372924805,35,1,11,35
entailed,1,4,13.589107513427734,69,1,11,69
fact_mismatch,1,5,27.555030822753906,6,1,11,6
rule_lhs_mismatch,1,6,21.558364868164062,6,1,11,6
consequent_swap,1,7,12.856595039367676,8,1,11,8
entailed,1,8,12.340953826904297,27,1,11,27
fact_mismatch,1,9,29.223230361938477,6,1,11,6
rule_lhs_mismatch,1,10,23.990779876708984,6,1,11,6
consequent_swap,1,11,12.503534317016602,23,1,11,23
entailed,1,12,10.596823692321777,32,1,11,32
fact_mismatch,1,13,21.158321380615234,6,1,11,6
rule_lhs_mismatch,1,14,25.3743896484375,6,1,11,6
consequent_swap,1,15,13.501008987426758,62,1,11,62
entailed,1,16,12.829634666442871,38,1,11,38
fact_mismatch,1,17,28.768590927124023,6,1,11,6
rule_lhs_mismatch,1,18,14.852075576782227,6,1,11,6
consequent_swap,1,19,11.897222518920898,36,1,11,36
entailed,1,20,11.37205696105957,27,1,11,27
fact_mismatch,1,21,17.142322540283203,6,1,11,6
rule_lhs_mismatch,1,22,22.266286849975586,6,1,11,6
consequent_swap,1,23,12.82958698272705,16,1,11,16
entailed,1,24,11.948857307434082,70,1,11,70
fact_mismatch,1,25,13.291889190673828,6,1,11,6
rule_lhs_mismatch,1,26,28.964710235595703,6,1,11,6
consequent_swap,1,27,13.125476837158203,64,1,11,64
entailed,1,28,11.625229835510254,42,1,11,42
fact_mismatch,1,29,25.71949577331543,6,1,11,6
rule_lhs_mismatch,1,30,21.385848999023438,6,1,11,6
consequent_swap,1,31,10.887673377990723,31,1,11,31
entailed,1,32,12.192580223083496,32,1,11,32
fact_mismatch,1,33,24.662839889526367,6,1,11,6
rule_lhs_mismatch,1,34,14.345258712768555,6,1,11,6
consequent_swap,1,35,15.410921096801758,9,1,11,9
entailed,1,36,10.993158340454102,51,1,11,51
fact_mismatch,1,37,11.956537246704102,6,1,11,6
rule_lhs_mismatch,1,38,24.55345916748047,6,1,11,6
consequent_swap,1,39,12.42486572265625,50,1,11,50
entailed,1,40,11.375914573669434,31,1,11,31
