accuracy,competent,examples,mean_target_margin,model_seed,split,stage,template
1.0,1,192,11.41778908483684,11,test,F2,canonical_functor_control
1.0,1,192,11.373004714647928,11,test,F2,canonical_predicate_control
1.0,1,192,11.297127074251572,11,test,F2,reversed_functor_control
1.0,1,192,11.365706961601973,11,test,F2,reversed_predicate_control
1.0,1,192,11.406160095085701,11,validation,F2,canonical_functor_control
1.0,1,192,11.325500541677078,11,validation,F2,canonical_predicate_control
1.0,1,192,11.4163724022607,11,validation,F2,reversed_functor_control
1.0,1,192,11.37580400829514,11,validation,F2,reversed_predicate_control
0.9010416666666666,0,192,4.622122349838416,23,test,F2,canonical_functor_control
0.9270833333333334,0,192,5.23665835460027,23,test,F2,canonical_predicate_control
0.9166666666666666,0,192,4.718075407048066,23,test,F2,reversed_functor_control
0.921875,0,192,5.079691452284654,23,test,F2,reversed_predicate_control
0.9375,0,192,4.783579183121522,23,validation,F2,canonical_functor_control
0.9166666666666666,0,192,4.966303310046594,23,validation,F2,canonical_predicate_control
0.9427083333333334,0,192,5.186607711017132,23,validation,F2,reversed_functor_control
0.8697916666666666,0,192,4.748718302696943,23,validation,F2,reversed_predicate_control
1.0,1,192,9.071903345485529,37,test,F2,canonical_functor_control
0.96875,1,192,8.174970239400864,37,test,F2,canonical_predicate_control
0.984375,1,192,8.99265081062913,37,test,F2,reversed_functor_control
0.9635416666666666,1,192,7.906923583398263,37,test,F2,reversed_predicate_control
1.0,1,192,9.168172903358936,37,validation,F2,canonical_functor_control
0.9739583333333334,1,192,8.206013758977255,37,validation,F2,canonical_predicate_control
1.0,1,192,9.361430462449789,37,validation,F2,reversed_functor_control
0.9791666666666666,1,192,7.845933025081952,37,validation,F2,reversed_predicate_control
1.0,1,128,19.203654675467988,11,test,P2,cp_antecedent_polarity
1.0,1,128,19.047162412898615,11,test,P2,cp_consequent_polarity
0.96875,1,128,19.006224541291886,11,test,P2,cp_direction
1.0,1,128,20.853400392632466,11,test,P2,mt_fact_polarity
1.0,1,128,20.673926362287602,11,test,P2,mt_query_polarity
0.9921875,1,128,16.041838816847303,11,test,P2,mt_rule_direction
1.0,1,128,18.837802728638053,11,validation,P2,cp_antecedent_polarity
1.0,1,128,18.821860787109472,11,validation,P2,cp_consequent_polarity
0.9921875,1,128,20.00843911326956,11,validation,P2,cp_direction
1.0,1,128,20.601817646238487,11,validation,P2,mt_fact_polarity
1.0,1,128,20.61606355413096,11,validation,P2,mt_query_polarity
1.0,1,128,15.80357986270974,11,validation,P2,mt_rule_direction
1.0,1,128,16.176703531760722,23,test,P2,cp_antecedent_polarity
1.0,1,128,17.511470420799014,23,test,P2,cp_consequent_polarity
1.0,1,128,19.73665264295414,23,test,P2,cp_direction
1.0,1,128,18.340991381555796,23,test,P2,mt_fact_polarity
1.0,1,128,20.129989616572857,23,test,P2,mt_query_polarity
1.0,1,128,14.884537558304146,23,test,P2,mt_rule_direction
1.0,1,128,16.183455761987716,23,validation,P2,cp_antecedent_polarity
1.0,1,128,17.668083663638754,23,validation,P2,cp_consequent_polarity
1.0,1,128,19.597616301791277,23,validation,P2,cp_direction
1.0,1,128,18.560370521619916,23,validation,P2,mt_fact_polarity
1.0,1,128,19.777214907109737,23,validation,P2,mt_query_polarity
1.0,1,128,14.373092222725973,23,validation,P2,mt_rule_direction
1.0,1,128,18.347347475028073,37,test,P2,cp_antecedent_polarity
1.0,1,128,18.491807611630065,37,test,P2,cp_consequent_polarity
1.0,1,128,15.817189400680945,37,test,P2,cp_direction
1.0,1,128,19.83314445707947,37,test,P2,mt_fact_polarity
1.0,1,128,19.93764311488485,37,test,P2,mt_query_polarity
0.9921875,1,128,16.020905912853777,37,test,P2,mt_rule_direction
1.0,1,128,18.34795253316406,37,validation,P2,cp_antecedent_polarity
1.0,1,128,18.535063459421508,37,validation,P2,cp_consequent_polarity
1.0,1,128,15.972088437527418,37,validation,P2,cp_direction
1.0,1,128,19.186945595720317,37,validation,P2,mt_fact_polarity
1.0,1,128,19.58690760540776,37,validation,P2,mt_query_polarity
0.9921875,1,128,15.315340132452548,37,validation,P2,mt_rule_direction
