binary_correct,binary_margin,correct,example_id,label,model_seed,namespace,prediction,split,stage,target,template
1,13.116307258605957,1,P0:validation:285,negative,23,va,61,validation,P0,61,double_negation
1,11.163250923156738,1,P0:validation:436,positive,23,va,60,validation,P0,60,conjunction_elimination
1,12.586925506591797,1,P0:validation:466,positive,23,va,60,validation,P0,60,conjunction_elimination
1,13.769834995269775,1,P0:validation:69,negative,23,va,61,validation,P0,61,double_negation
1,9.447553634643555,1,P0:validation:434,positive,23,va,60,validation,P0,60,disjunction_introduction
1,19.79041588306427,1,P0:validation:79,negative,23,va,61,validation,P0,61,conjunction_elimination
1,12.397088050842285,1,P0:validation:222,positive,23,va,60,validation,P0,60,double_negation
0,-1.2837343215942383,0,P0:validation:8,positive,23,va,61,validation,P0,60,disjunction_introduction
1,11.914463996887207,1,P0:validation:370,positive,23,va,60,validation,P0,60,conjunction_elimination
1,9.483966827392578,1,P0:validation:504,positive,23,va,60,validation,P0,60,double_negation
1,7.349952697753906,1,P0:validation:220,positive,23,va,60,validation,P0,60,conjunction_elimination
1,25.442904472351074,1,P0:validation:433,negative,23,va,61,validation,P0,61,conjunction_elimination
1,12.092537879943848,1,P0:validation:274,positive,23,va,60,validation,P0,60,conjunction_elimination
1,12.020997047424316,1,P0:validation:196,positive,23,va,60,validation,P0,60,conjunction_elimination
1,13.528550624847412,1,P0:validation:63,negative,23,va,61,validation,P0,61,double_negation
1,13.511039733886719,1,P0:validation:384,positive,23,va,60,validation,P0,60,double_negation
1,22.712525844573975,1,P0:validation:139,negative,23,va,61,validation,P0,61,conjunction_elimination
1,11.628979682922363,1,P0:validation:310,positive,23,va,60,validation,P0,60,conjunction_elimination
1,12.063032150268555,1,P0:validation:172,positive,23,va,60,validation,P0,60,conjunction_elimination
1,24.040524005889893,1,P0:validation:49,negative,23,va,61,validation,P0,61,conjunction_elimination
1,13.511039733886719,1,P0:validation:414,positive,23,va,60,validation,P0,60,double_negation
1,14.055096626281738,1,P0:validation:12,positive,23,va,60,validation,P0,60,double_negation
1,6.439026832580566,1,P0:validation:230,positive,23,va,60,validation,P0,60,disjunction_introduction
1,11.495238304138184,1,P0:validation:52,positive,23,va,60,validation,P0,60,conjunction_elimination
1,13.511039733886719,1,P0:validation:0,positive,23,va,60,validation,P0,60,double_negation
1,13.769444465637207,1,P0:validation:100,positive,23,va,60,validation,P0,60,conjunction_elimination
1,11.192537307739258,1,P0:validation:446,positive,23,va,60,validation,P0,60,disjunction_introduction
1,15.38269853591919,1,P0:validation:421,negative,23,va,61,validation,P0,61,conjunction_elimination
