branching,distractors,evaluation_axis,example_id,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i0,arbitrary,6,11,0.5132696628570557,aligned,parent,1,15,3.1480941772460938,0.904866099357605,1,0,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i1,arbitrary,6,11,2.6914167404174805,aligned,parent,1,15,1.6515483856201172,0.4251028001308441,1,1,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i2,arbitrary,6,11,1.3148300647735596,aligned,parent,1,15,-0.12944984436035156,0.41560283303260803,2,2,0,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i3,arbitrary,6,11,2.5662264823913574,aligned,parent,1,15,2.6837735176086426,0.5189666748046875,1,3,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i8,arbitrary,6,11,1.4199111461639404,aligned,parent,1,15,-5.526061058044434,0.002985089085996151,23,0,0,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i9,arbitrary,6,11,3.901296377182007,aligned,parent,1,15,0.23845291137695312,0.10513218492269516,1,1,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i10,arbitrary,6,11,0.3705925941467285,aligned,parent,1,15,3.9301862716674805,0.9424854516983032,1,2,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i11,arbitrary,6,11,0.5636914968490601,aligned,parent,1,15,4.630579948425293,0.9217582941055298,1,3,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i0,arbitrary,6,11,0.8796395063400269,aligned,parent,1,15,2.9615564346313477,0.8490355610847473,1,0,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i1,arbitrary,6,11,2.790154218673706,aligned,parent,1,15,0.7846584320068359,0.36852386593818665,1,1,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i2,arbitrary,6,11,0.3541750907897949,aligned,parent,1,15,-4.596580505371094,0.009603956714272499,2,2,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i3,arbitrary,6,11,2.266693592071533,aligned,parent,1,15,0.3905210494995117,0.41773876547813416,1,3,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i8,arbitrary,6,11,1.3203613758087158,aligned,parent,1,15,-3.688568592071533,0.019283894449472427,3,0,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i9,arbitrary,6,11,3.594426155090332,aligned,parent,1,15,0.7286105155944824,0.18694059550762177,1,1,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i10,arbitrary,6,11,0.1029333770275116,aligned,parent,1,15,-8.12271499633789,0.00029328418895602226,11,2,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i11,arbitrary,6,11,0.9992750287055969,aligned,parent,1,15,-3.321147918701172,0.030181260779500008,2,3,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i0,arbitrary,6,11,2.2017288208007812,aligned,parent,1,15,1.186905860900879,0.45485761761665344,1,0,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i1,arbitrary,6,11,2.997479200363159,aligned,parent,1,15,1.4283990859985352,0.343702107667923,1,1,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree307:i2,arbitrary,6,11,1.0341624021530151,aligned,parent,1,15,-4.005332946777344,0.015275472775101662,4,2,0,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree307:i3,arbitrary,6,11,2.457388401031494,aligned,parent,1,15,-0.20042037963867188,0.2675698399543762,2,3,0,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i8,arbitrary,6,11,0.2679663300514221,aligned,parent,1,15,-7.635181427001953,0.0004656798264477402,13,0,0,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i9,arbitrary,6,11,2.591954469680786,aligned,parent,1,15,1.590576171875,0.46116337180137634,1,1,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree307:i10,arbitrary,6,11,3.3338911533355713,aligned,parent,1,15,-2.2958850860595703,0.026422664523124695,11,2,0,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree307:i11,arbitrary,6,11,1.1659471988677979,aligned,parent,1,15,-1.8763198852539062,0.11592628806829453,2,3,0,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree101:i0,arbitrary,6,11,0.5092085599899292,aligned,grandparent,2,15,-3.1526308059692383,0.03870781883597374,2,0,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree101:i1,arbitrary,6,11,2.5754764080047607,aligned,grandparent,2,15,-1.8829889297485352,0.06912101060152054,3,1,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree101:i2,arbitrary,6,11,1.319422721862793,aligned,grandparent,2,15,0.12812042236328125,0.4722612202167511,1,2,1,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree101:i3,arbitrary,6,11,2.572803258895874,aligned,grandparent,2,15,-3.2266340255737305,0.020532649010419846,6,3,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree101:i8,arbitrary,6,11,1.4334890842437744,aligned,grandparent,2,15,2.941452980041504,0.747001051902771,1,0,1,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree101:i9,arbitrary,6,11,3.887244462966919,aligned,grandparent,2,15,-4.530501365661621,0.0012625615345314145,87,1,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree101:i10,arbitrary,6,11,0.36188623309135437,aligned,grandparent,2,15,-3.9912586212158203,0.017446035519242287,2,2,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree101:i11,arbitrary,6,11,0.5562976598739624,aligned,grandparent,2,15,-5.697849750518799,0.003093657549470663,6,3,0,2,101
