component,explained_energy,family,layer,model_id,rank,revision
sa,0.9649974703788757,mapping:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8408724665641785,alternation:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9987836480140686,question:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9999069571495056,question:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9986593127250671,mapping:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9972280263900757,question:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9668781757354736,arrow:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8079313635826111,alternation:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9371797442436218,alternation:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9998651146888733,question:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9828240275382996,mapping:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.999363124370575,question:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9894767999649048,mapping:number,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:number,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9897597432136536,arrow:number,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:number,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.990862250328064,question:number,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:number,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9964179396629333,mapping:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9960469007492065,arrow:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9475432634353638,alternation:number,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:number,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9985822439193726,question:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9974915385246277,mapping:color,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:color,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9300148487091064,arrow:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9399036169052124,alternation:color,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:color,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9995904564857483,question:color,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,question:color,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.996703028678894,alternation:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.8932111263275146,alternation:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9924649000167847,arrow:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9991768002510071,arrow:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9955191016197205,mapping:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9992010593414307,mapping:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,mapping:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9633280634880066,alternation:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,alternation:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9745750427246094,arrow:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
sa,0.9882383346557617,arrow:color,0,EleutherAI/pythia-70m-deduped,1,step143000
sa,1.0,arrow:color,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.6845911145210266,alternation:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.6703246235847473,alternation:tense,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:tense,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.8331743478775024,alternation:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:number,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:number,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:number,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:number,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:number,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:number,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:temperature,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:temperature,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.7209200859069824,alternation:number,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:number,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,mapping:color,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,mapping:color,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:direction,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:direction,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.8587323427200317,alternation:color,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:color,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,question:color,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,question:color,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.9243481159210205,alternation:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,0.8176589608192444,alternation:geography,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,alternation:geography,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:animal,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:animal,0,EleutherAI/pythia-70m-deduped,2,step143000
ff,1.0,arrow:magnitude,0,EleutherAI/pythia-70m-deduped,1,step143000
ff,1.0,arrow:magnitude,0,EleutherAI/pythia-70m-deduped,2,step143000
