binary_correct,binary_margin,correct,example_id,label,model_seed,namespace,prediction,split,stage,target,template
1,15.570394039154053,1,F0:validation:285,negative,23,va,61,validation,F0,61,predicate_mismatch
1,8.642703533172607,1,F0:validation:436,positive,23,va,60,validation,F0,60,identity
1,3.6304445266723633,1,F0:validation:466,positive,23,va,60,validation,F0,60,identity
1,9.831695556640625,1,F0:validation:69,negative,23,va,61,validation,F0,61,predicate_mismatch
1,5.385497093200684,1,F0:validation:434,positive,23,va,60,validation,F0,60,identity
1,16.374756813049316,1,F0:validation:79,negative,23,va,61,validation,F0,61,constant_mismatch
1,5.2690935134887695,1,F0:validation:222,positive,23,va,60,validation,F0,60,identity
1,7.950529098510742,1,F0:validation:8,positive,23,va,60,validation,F0,60,identity
1,7.650906562805176,1,F0:validation:370,positive,23,va,60,validation,F0,60,identity
1,2.2149925231933594,1,F0:validation:504,positive,23,va,60,validation,F0,60,identity
1,5.2690935134887695,1,F0:validation:220,positive,23,va,60,validation,F0,60,identity
1,17.43430519104004,1,F0:validation:433,negative,23,va,61,validation,F0,61,predicate_mismatch
1,7.650906562805176,1,F0:validation:274,positive,23,va,60,validation,F0,60,identity
1,7.620781421661377,1,F0:validation:196,positive,23,va,60,validation,F0,60,identity
1,17.12196683883667,1,F0:validation:63,negative,23,va,61,validation,F0,61,constant_mismatch
1,5.930908203125,1,F0:validation:384,positive,23,va,60,validation,F0,60,identity
1,18.949066281318665,1,F0:validation:139,negative,23,va,61,validation,F0,61,constant_mismatch
1,1.044576644897461,1,F0:validation:310,positive,23,va,60,validation,F0,60,identity
1,4.504526615142822,1,F0:validation:172,positive,23,va,60,validation,F0,60,identity
1,17.81931585073471,1,F0:validation:49,negative,23,va,61,validation,F0,61,predicate_mismatch
1,8.10505723953247,1,F0:validation:414,positive,23,va,60,validation,F0,60,identity
1,8.372520446777344,1,F0:validation:12,positive,23,va,60,validation,F0,60,identity
1,6.418844223022461,1,F0:validation:230,positive,23,va,60,validation,F0,60,identity
1,8.385591506958008,1,F0:validation:52,positive,23,va,60,validation,F0,60,identity
1,8.385591506958008,1,F0:validation:0,positive,23,va,60,validation,F0,60,identity
1,1.031783103942871,1,F0:validation:100,positive,23,va,60,validation,F0,60,identity
