branching,correct,depth,distractors,example_id,failure,generated_action_tokens,machine,model_forwards,oracle_controller,prompt_tokens,result_type,run_id,shuffled,stage,termination_correct,tool_calls,tool_execution_is_model_reasoning,tool_strength,total_context_tokens
1,True,1,0,matched:K1:0,,6,M4,2,True,8,reference_oracle,matched:K1:0:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:0,,6,M4,2,True,8,reference_oracle,matched:K1:0:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:0,,6,M4,2,True,8,reference_oracle,matched:K1:0:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:1,,6,M4,2,True,8,reference_oracle,matched:K1:1:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:1,,6,M4,2,True,8,reference_oracle,matched:K1:1:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:1,,6,M4,2,True,8,reference_oracle,matched:K1:1:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:2,,6,M4,2,True,8,reference_oracle,matched:K1:2:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:2,,6,M4,2,True,8,reference_oracle,matched:K1:2:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:2,,6,M4,2,True,8,reference_oracle,matched:K1:2:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:3,,6,M4,2,True,8,reference_oracle,matched:K1:3:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:3,,6,M4,2,True,8,reference_oracle,matched:K1:3:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:3,,6,M4,2,True,8,reference_oracle,matched:K1:3:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:4,,6,M4,2,True,8,reference_oracle,matched:K1:4:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:4,,6,M4,2,True,8,reference_oracle,matched:K1:4:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:4,,6,M4,2,True,8,reference_oracle,matched:K1:4:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:5,,6,M4,2,True,8,reference_oracle,matched:K1:5:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:5,,6,M4,2,True,8,reference_oracle,matched:K1:5:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:5,,6,M4,2,True,8,reference_oracle,matched:K1:5:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:6,,6,M4,2,True,8,reference_oracle,matched:K1:6:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:6,,6,M4,2,True,8,reference_oracle,matched:K1:6:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:6,,6,M4,2,True,8,reference_oracle,matched:K1:6:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:7,,6,M4,2,True,8,reference_oracle,matched:K1:7:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:7,,6,M4,2,True,8,reference_oracle,matched:K1:7:T2,False,R2,True,1,False,T2,14
1,True,1,0,matched:K1:7,,6,M4,2,True,8,reference_oracle,matched:K1:7:T3,False,R2,True,1,False,T3,14
1,True,1,0,matched:K1:8,,6,M4,2,True,8,reference_oracle,matched:K1:8:T1,False,R2,True,1,False,T1,14
1,True,1,0,matched:K1:8,,6,M4,2,True,8,reference_oracle,matched:K1:8:T2,False,R2,True,1,False,T2,14
