branching,distractors,evaluation_axis,example_id,label_mode,model_depth,model_seed,output_entropy,position_mode,predicate,required_path,sequence_length,target_margin,target_probability,target_rank,template_id,top1_correct,total_depth,tree_seed
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i0,arbitrary,6,11,1.2102808952331543,aligned,parent,1,15,1.940058708190918,0.7507583498954773,1,0,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i1,arbitrary,6,11,2.418113946914673,aligned,parent,1,15,0.22677326202392578,0.3550931215286255,1,1,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i2,arbitrary,6,11,1.221693515777588,aligned,parent,1,15,-1.562408447265625,0.1500883847475052,2,2,0,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i3,arbitrary,6,11,0.6542320251464844,aligned,parent,1,15,3.0955305099487305,0.8860165476799011,1,3,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree101:i8,arbitrary,6,11,2.2214508056640625,aligned,parent,1,15,2.525829315185547,0.5855027437210083,1,0,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree101:i9,arbitrary,6,11,3.1633052825927734,aligned,parent,1,15,1.6126294136047363,0.32111814618110657,1,1,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree101:i10,arbitrary,6,11,1.572899580001831,aligned,parent,1,15,2.163924217224121,0.6864296197891235,1,2,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree101:i11,arbitrary,6,11,1.3806662559509277,aligned,parent,1,15,2.2271299362182617,0.7384474277496338,1,3,1,2,101
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i0,arbitrary,6,11,0.5451095104217529,aligned,parent,1,15,3.3265628814697266,0.9134796857833862,1,0,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i1,arbitrary,6,11,2.4873409271240234,aligned,parent,1,15,2.444888114929199,0.5434184074401855,1,1,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i2,arbitrary,6,11,0.7705848813056946,aligned,parent,1,15,-2.7062225341796875,0.057630158960819244,2,2,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i3,arbitrary,6,11,0.7698331475257874,aligned,parent,1,15,2.4506988525390625,0.8573209047317505,1,3,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree211:i8,arbitrary,6,11,2.086540699005127,aligned,parent,1,15,-1.695840835571289,0.10450068861246109,2,0,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree211:i9,arbitrary,6,11,3.469045877456665,aligned,parent,1,15,-0.06268692016601562,0.10194609314203262,2,1,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree211:i10,arbitrary,6,11,0.31088781356811523,aligned,parent,1,15,-5.516056537628174,0.00385305262170732,4,2,0,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree211:i11,arbitrary,6,11,0.37492048740386963,aligned,parent,1,15,4.596235275268555,0.9478902816772461,1,3,1,2,211
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i0,arbitrary,6,11,0.15253597497940063,aligned,parent,1,15,5.362444877624512,0.9810601472854614,1,0,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i1,arbitrary,6,11,1.1356902122497559,aligned,parent,1,15,2.009099006652832,0.7590451240539551,1,1,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree307:i2,arbitrary,6,11,0.851954996585846,aligned,parent,1,15,3.0523033142089844,0.8602184653282166,1,2,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree307:i3,arbitrary,6,11,1.1868765354156494,aligned,parent,1,15,0.7009334564208984,0.6087672710418701,1,3,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t0:paligned:tree307:i8,arbitrary,6,11,1.6904575824737549,aligned,parent,1,15,-3.288200855255127,0.025333477184176445,4,0,0,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t1:paligned:tree307:i9,arbitrary,6,11,1.7187092304229736,aligned,parent,1,15,-0.04102134704589844,0.3995022177696228,2,1,0,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t2:paligned:tree307:i10,arbitrary,6,11,2.3574013710021973,aligned,parent,1,15,0.9359350204467773,0.4453173279762268,1,2,1,2,307
2,4,depth_path,test:parent:D2:d1:b2:N4:t3:paligned:tree307:i11,arbitrary,6,11,0.9532594680786133,aligned,parent,1,15,0.81146240234375,0.6585017442703247,1,3,1,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree101:i0,arbitrary,6,11,1.2046959400177002,aligned,grandparent,2,15,-1.94573974609375,0.1074676513671875,2,0,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree101:i1,arbitrary,6,11,2.2022974491119385,aligned,grandparent,2,15,-0.08158016204833984,0.3343988060951233,2,1,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree101:i2,arbitrary,6,11,1.1985650062561035,aligned,grandparent,2,15,1.6135501861572266,0.7244620323181152,1,2,1,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree101:i3,arbitrary,6,11,0.6387542486190796,aligned,grandparent,2,15,-7.805582523345947,0.00036237231688573956,27,3,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree101:i8,arbitrary,6,11,2.229459762573242,aligned,grandparent,2,15,-2.486544609069824,0.04848586767911911,2,0,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree101:i9,arbitrary,6,11,3.153252601623535,aligned,grandparent,2,15,-3.753035545349121,0.007595370057970285,22,1,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree101:i10,arbitrary,6,11,1.556875467300415,aligned,grandparent,2,15,-2.214221954345703,0.07580254971981049,2,2,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree101:i11,arbitrary,6,11,1.3517423868179321,aligned,grandparent,2,15,-2.371553421020508,0.07000729441642761,2,3,0,2,101
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree211:i0,arbitrary,6,11,0.5399135947227478,aligned,grandparent,2,15,-5.429854869842529,0.004010374192148447,4,0,0,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree211:i1,arbitrary,6,11,1.891250729560852,aligned,grandparent,2,15,-4.033629417419434,0.012028831988573074,9,1,0,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree211:i2,arbitrary,6,11,0.7737700939178467,aligned,grandparent,2,15,2.700469970703125,0.8621761798858643,1,2,1,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree211:i3,arbitrary,6,11,0.7998830080032349,aligned,grandparent,2,15,-2.384707450866699,0.07828384637832642,2,3,0,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree211:i8,arbitrary,6,11,2.037405490875244,aligned,grandparent,2,15,1.7397727966308594,0.5815942287445068,1,0,1,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree211:i9,arbitrary,6,11,3.4698233604431152,aligned,grandparent,2,15,-1.3326764106750488,0.02792288549244404,9,1,0,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree211:i10,arbitrary,6,11,0.30337899923324585,aligned,grandparent,2,15,4.709922790527344,0.9592263698577881,1,2,1,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree211:i11,arbitrary,6,11,0.3753763735294342,aligned,grandparent,2,15,-4.690202713012695,0.008700685575604439,3,3,0,2,211
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree307:i0,arbitrary,6,11,0.15419356524944305,aligned,grandparent,2,15,-7.560236930847168,0.0005107704782858491,10,0,0,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree307:i1,arbitrary,6,11,1.1361979246139526,aligned,grandparent,2,15,-1.9750280380249023,0.10512647777795792,2,1,0,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree307:i2,arbitrary,6,11,0.8371970653533936,aligned,grandparent,2,15,-4.4373674392700195,0.010205375030636787,4,2,0,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree307:i3,arbitrary,6,11,1.1894478797912598,aligned,grandparent,2,15,-0.6092996597290039,0.32152554392814636,2,3,0,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t0:paligned:tree307:i8,arbitrary,6,11,1.6738262176513672,aligned,grandparent,2,15,2.4189281463623047,0.6857366561889648,1,0,1,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t1:paligned:tree307:i9,arbitrary,6,11,1.727454423904419,aligned,grandparent,2,15,0.03341484069824219,0.41372501850128174,1,1,1,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t2:paligned:tree307:i10,arbitrary,6,11,2.453256130218506,aligned,grandparent,2,15,-3.531482696533203,0.012446712702512741,12,2,0,2,307
2,4,depth_path,test:grandparent:D2:d2:b2:N4:t3:paligned:tree307:i11,arbitrary,6,11,0.9647314548492432,aligned,grandparent,2,15,-0.7964754104614258,0.29504919052124023,2,3,0,2,307
2,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree101:i0,arbitrary,6,11,0.9843423962593079,aligned,root,2,15,-2.4223499298095703,0.07256130874156952,2,0,0,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree101:i1,arbitrary,6,11,2.0931692123413086,aligned,root,2,15,0.4961729049682617,0.4473216235637665,1,1,1,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree101:i2,arbitrary,6,11,1.3103289604187012,aligned,root,2,15,1.7655649185180664,0.7154220342636108,1,2,1,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree101:i3,arbitrary,6,11,1.008772373199463,aligned,root,2,15,-6.715481281280518,0.0009838963160291314,25,3,0,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree101:i8,arbitrary,6,11,2.8811843395233154,aligned,root,2,15,1.5510368347167969,0.4188421666622162,1,0,1,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree101:i9,arbitrary,6,11,3.0294108390808105,aligned,root,2,15,-4.152859687805176,0.005861328449100256,26,1,0,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree101:i10,arbitrary,6,11,1.5675792694091797,aligned,root,2,15,-2.453176498413086,0.06004742532968521,2,2,0,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree101:i11,arbitrary,6,11,1.6703715324401855,aligned,root,2,15,-1.9451799392700195,0.09501668065786362,2,3,0,2,101
2,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree211:i0,arbitrary,6,11,0.6870784759521484,aligned,root,2,15,-5.091554641723633,0.005467013921588659,5,0,0,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree211:i1,arbitrary,6,11,1.1068570613861084,aligned,root,2,15,-5.694939613342285,0.002806516597047448,17,1,0,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree211:i2,arbitrary,6,11,1.0723354816436768,aligned,root,2,15,2.0923519134521484,0.7865065932273865,1,2,1,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree211:i3,arbitrary,6,11,0.7469005584716797,aligned,root,2,15,-2.255006790161133,0.08924506604671478,2,3,0,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree211:i8,arbitrary,6,11,1.0770093202590942,aligned,root,2,15,3.4227194786071777,0.8209306597709656,1,0,1,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree211:i9,arbitrary,6,11,3.562129020690918,aligned,root,2,15,-1.0651893615722656,0.034011658281087875,7,1,0,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree211:i10,arbitrary,6,11,0.33790871500968933,aligned,root,2,15,4.602200508117676,0.9539183378219604,1,2,1,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree211:i11,arbitrary,6,11,0.8839877843856812,aligned,root,2,15,-3.1548843383789062,0.036156706511974335,2,3,0,2,211
2,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree307:i0,arbitrary,6,11,0.19820261001586914,aligned,root,2,15,-7.081100940704346,0.000819578708615154,10,0,0,2,307
2,4,depth_path,test:root:D2:d2:b2:N4:t1:paligned:tree307:i1,arbitrary,6,11,1.4466211795806885,aligned,root,2,15,-1.421431541442871,0.1596432626247406,2,1,0,2,307
2,4,depth_path,test:root:D2:d2:b2:N4:t2:paligned:tree307:i2,arbitrary,6,11,0.9352349042892456,aligned,root,2,15,-4.109067916870117,0.013649070635437965,3,2,0,2,307
2,4,depth_path,test:root:D2:d2:b2:N4:t3:paligned:tree307:i3,arbitrary,6,11,1.1769158840179443,aligned,root,2,15,0.1432504653930664,0.49284428358078003,1,3,1,2,307
2,4,depth_path,test:root:D2:d2:b2:N4:t0:paligned:tree307:i8,arbitrary,6,11,2.617238759994507,aligned,root,2,15,1.3074297904968262,0.4187715947628021,1,0,1,2,307
