example_id,final_correct,first_top1_boundary,model_seed,predictive_order,settling_delay,stable_top1_boundary,stage
test:b2-d2-i8:natural:parent:t0:paligned:0,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t0:paligned:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t0:prandomized:0,0,-1,11,1,-1,-1,s1
test:b2-d2-i8:natural:parent:t0:prandomized:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t1:paligned:0,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t1:paligned:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t1:prandomized:0,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t1:prandomized:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t2:paligned:0,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t2:paligned:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t2:prandomized:0,0,-1,11,1,-1,-1,s1
test:b2-d2-i8:natural:parent:t2:prandomized:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t3:paligned:0,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t3:paligned:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t3:prandomized:0,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:parent:t3:prandomized:16,1,3,11,1,0,3,s1
test:b2-d2-i8:natural:ancestor:t0:paligned:0,1,2,11,2,0,2,s1
test:b2-d2-i8:natural:ancestor:t0:paligned:16,1,2,11,2,0,2,s1
test:b2-d2-i8:natural:ancestor:t0:prandomized:0,1,3,11,2,0,3,s1
test:b2-d2-i8:natural:ancestor:t0:prandomized:16,1,1,11,2,0,1,s1
test:b2-d2-i8:natural:ancestor:t1:paligned:0,1,3,11,2,0,3,s1
test:b2-d2-i8:natural:ancestor:t1:paligned:16,1,2,11,2,0,2,s1
test:b2-d2-i8:natural:ancestor:t1:prandomized:0,1,3,11,2,0,3,s1
test:b2-d2-i8:natural:ancestor:t1:prandomized:16,1,2,11,2,0,2,s1
test:b2-d2-i8:natural:ancestor:t2:paligned:0,1,2,11,2,0,2,s1
