accuracy_delta,example_id,head,js_damage,layer,margin_delta,mode,model_depth,model_seed,predicate,required_path,stage,status
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,1.0988143912982196e-05,0,1.492971420288086,zero,6,11,isAncestor,1,s1,
-1,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,0.39972519874572754,0,-11.54128360748291,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,1.2590900951181538e-05,0,2.1789236068725586,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,0.0028520184569060802,0,-4.733409881591797,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,6.002460395393427e-08,1,0.013823509216308594,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,1.812265963963e-06,1,0.32510948181152344,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,8.968254405772313e-07,1,0.45633602142333984,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,8.409192560066003e-07,1,0.08531570434570312,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,4.4308012547844555e-07,2,0.1530313491821289,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,3.825733756457339e-07,2,0.047003746032714844,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,1.3280100574775133e-06,2,0.19874191284179688,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,7.579419616376981e-07,2,0.2902336120605469,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,1.3472742921294412e-07,3,0.06861019134521484,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,1.8709970390773378e-06,3,0.28984546661376953,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,5.625558969768463e-07,3,0.07763671875,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,9.982181836676318e-07,3,0.2527313232421875,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,6.307625426416053e-07,4,0.21493053436279297,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,2.0486700123001356e-06,4,0.1280078887939453,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,8.454030648863409e-07,4,0.04699516296386719,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,1.4655927316198358e-07,4,0.01416015625,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,9.372574822918978e-07,5,0.14087677001953125,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,9.210207281284966e-07,5,0.1798725128173828,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,8.10580331744859e-07,5,0.12249279022216797,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,8.267994644484133e-08,5,-0.044036865234375,zero,6,11,isAncestor,1,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,1.2490550034272019e-06,0,1.42144775390625,zero,6,11,isAncestor,8,s1,
-1,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,0.47046780586242676,0,-14.812939643859863,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,7.171049674070673e-07,0,-0.6500682830810547,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,0.0004691709764301777,0,-4.7079057693481445,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,9.789687283046078e-09,1,-0.025404930114746094,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,2.5395578973075317e-07,1,0.511876106262207,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,5.844324135750867e-08,1,-0.0646982192993164,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,3.663467396108899e-08,1,0.1583108901977539,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,5.264882929623127e-08,2,0.20284080505371094,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,1.3143701949047681e-07,2,0.40740108489990234,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,9.046198101714253e-08,2,0.3578987121582031,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,1.8028941894954187e-07,2,0.293121337890625,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,2.5360193944834464e-08,3,0.18680381774902344,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,3.481408725747315e-07,3,0.5441761016845703,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,1.2828095918848703e-07,3,0.29006195068359375,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,9.96136577668949e-08,3,0.18825054168701172,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,9.088520869227068e-08,4,0.2563343048095703,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,3.4634061307770025e-07,4,0.5662822723388672,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,2.006044610425306e-07,4,0.39823055267333984,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,2.336722104701039e-08,4,0.07127761840820312,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,1.9397776895857533e-07,5,0.43489742279052734,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,2.1965820451441687e-07,5,0.5494842529296875,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,1.9179483956577315e-07,5,0.2826080322265625,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,1.386495540600663e-08,5,0.0979604721069336,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,2.823312115651788e-06,0,0.9881715774536133,zero,6,11,isAncestor,8,s1,
-1,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,0.25176355242729187,0,-11.894996643066406,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,5.641735469907871e-07,0,0.34645557403564453,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,0.0003883696626871824,0,-4.511853218078613,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,8.444840773336182e-07,1,-0.5494804382324219,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,1.3343614568839257e-07,1,0.2524280548095703,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,2.832884149484016e-07,1,-0.43544483184814453,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,3.9125615103330347e-07,1,0.3393888473510742,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,9.858426608388982e-08,2,0.20855236053466797,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,1.123147086445897e-07,2,0.24239444732666016,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,2.1524925841731601e-07,2,0.32097911834716797,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,1.1616850770224119e-07,2,0.2128620147705078,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,2.1299165098298545e-08,3,0.08579158782958984,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,5.019043101128773e-07,3,0.43964672088623047,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,2.5562619043739687e-07,3,0.3700590133666992,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,1.3792765685138875e-07,3,0.1344757080078125,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,1.0747113776687911e-07,4,0.1751089096069336,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,7.310499654522573e-07,4,0.5668344497680664,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,2.6114963702639216e-07,4,0.2304706573486328,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,4.289581312377777e-08,4,0.1229867935180664,zero,6,11,isAncestor,8,s1,
0,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,3.758382263185922e-07,5,0.46109867095947266,zero,6,11,isAncestor,8,s1,
