correct,example_id,failure_reason,label,model_seed,oracle_substitution,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,P2:validation:63,,modus_tollens:invalid,23,,61,validation,P2,61,12.167227268218994,mt_rule_direction,1,61
1,P2:validation:656,,contraposition:valid,23,,60,validation,P2,60,14.209773063659668,cp_consequent_polarity,1,60
1,P2:validation:121,,modus_tollens:invalid,23,,61,validation,P2,61,24.12918996810913,mt_fact_polarity,1,61
1,P2:validation:225,,contraposition:invalid,23,,61,validation,P2,61,19.761068105697632,cp_consequent_polarity,1,61
1,P2:validation:489,,contraposition:invalid,23,,61,validation,P2,61,16.07098412513733,cp_consequent_polarity,1,61
1,P2:validation:353,,modus_tollens:invalid,23,,61,validation,P2,61,25.623887062072754,mt_query_polarity,1,61
1,P2:validation:193,,modus_tollens:invalid,23,,61,validation,P2,61,22.76851534843445,mt_fact_polarity,1,61
1,P2:validation:593,,modus_tollens:invalid,23,,61,validation,P2,61,29.58633041381836,mt_query_polarity,1,61
1,P2:validation:546,,contraposition:valid,23,,60,validation,P2,60,18.572730541229248,cp_antecedent_polarity,1,60
1,P2:validation:180,,modus_tollens:valid,23,,60,validation,P2,60,16.291906356811523,mt_fact_polarity,1,60
1,P2:validation:669,,contraposition:invalid,23,,61,validation,P2,61,19.83587920665741,cp_consequent_polarity,1,61
1,P2:validation:528,,modus_tollens:valid,23,,60,validation,P2,60,16.291906356811523,mt_fact_polarity,1,60
1,P2:validation:111,,modus_tollens:invalid,23,,61,validation,P2,61,13.469998359680176,mt_rule_direction,1,61
1,P2:validation:766,,contraposition:valid,23,,60,validation,P2,60,17.17965793609619,cp_direction,1,60
1,P2:validation:95,,contraposition:invalid,23,,61,validation,P2,61,20.20452320575714,cp_direction,1,61
1,P2:validation:89,,modus_tollens:invalid,23,,61,validation,P2,61,24.475436210632324,mt_query_polarity,1,61
1,P2:validation:81,,contraposition:invalid,23,,61,validation,P2,61,19.602419689297676,cp_consequent_polarity,1,61
1,P2:validation:342,,contraposition:valid,23,,60,validation,P2,60,14.522616386413574,cp_antecedent_polarity,1,60
1,P2:validation:711,,modus_tollens:invalid,23,,61,validation,P2,61,12.460227489471436,mt_rule_direction,1,61
1,P2:validation:677,,modus_tollens:invalid,23,,61,validation,P2,61,26.93226146697998,mt_query_polarity,1,61
1,P2:validation:213,,contraposition:invalid,23,,61,validation,P2,61,18.622751474380493,cp_consequent_polarity,1,61
1,P2:validation:328,,modus_tollens:valid,23,,60,validation,P2,60,13.486015319824219,mt_query_polarity,1,60
1,P2:validation:9,,contraposition:invalid,23,,61,validation,P2,61,18.690744638442993,cp_consequent_polarity,1,61
1,P2:validation:341,,modus_tollens:invalid,23,,61,validation,P2,61,27.70612621307373,mt_query_polarity,1,61
1,P2:validation:80,,contraposition:valid,23,,60,validation,P2,60,18.62191390991211,cp_consequent_polarity,1,60
1,P2:validation:495,,modus_tollens:invalid,23,,61,validation,P2,61,15.504609107971191,mt_rule_direction,1,61
1,P2:validation:745,,modus_tollens:invalid,23,,61,validation,P2,61,24.157519340515137,mt_fact_polarity,1,61
1,P2:validation:701,,modus_tollens:invalid,23,,61,validation,P2,61,25.08903980255127,mt_query_polarity,1,61
1,P2:validation:740,,contraposition:valid,23,,60,validation,P2,60,15.722672939300537,cp_consequent_polarity,1,60
1,P2:validation:218,,modus_tollens:valid,23,,60,validation,P2,60,10.983152389526367,mt_rule_direction,1,60
1,P2:validation:82,,contraposition:valid,23,,60,validation,P2,60,13.08547306060791,cp_direction,1,60
