candidate_count,current,expected,failure,result,run_id,step,tool_strength,valid
1,48,50,,50,matched:K1:0:T1,0,T1,True
1,48,50,,50,matched:K1:0:T2,0,T2,True
1,48,50,,50,matched:K1:0:T3,0,T3,True
1,65,55,,55,matched:K1:1:T1,0,T1,True
1,65,55,,55,matched:K1:1:T2,0,T2,True
1,65,55,,55,matched:K1:1:T3,0,T3,True
1,65,31,,31,matched:K1:2:T1,0,T1,True
1,65,31,,31,matched:K1:2:T2,0,T2,True
1,65,31,,31,matched:K1:2:T3,0,T3,True
1,40,39,,39,matched:K1:3:T1,0,T1,True
1,40,39,,39,matched:K1:3:T2,0,T2,True
1,40,39,,39,matched:K1:3:T3,0,T3,True
1,39,17,,17,matched:K1:4:T1,0,T1,True
1,39,17,,17,matched:K1:4:T2,0,T2,True
1,39,17,,17,matched:K1:4:T3,0,T3,True
1,72,31,,31,matched:K1:5:T1,0,T1,True
1,72,31,,31,matched:K1:5:T2,0,T2,True
1,72,31,,31,matched:K1:5:T3,0,T3,True
1,60,73,,73,matched:K1:6:T1,0,T1,True
1,60,73,,73,matched:K1:6:T2,0,T2,True
1,60,73,,73,matched:K1:6:T3,0,T3,True
1,21,35,,35,matched:K1:7:T1,0,T1,True
1,21,35,,35,matched:K1:7:T2,0,T2,True
1,21,35,,35,matched:K1:7:T3,0,T3,True
1,10,52,,52,matched:K1:8:T1,0,T1,True
1,10,52,,52,matched:K1:8:T2,0,T2,True
1,10,52,,52,matched:K1:8:T3,0,T3,True
1,33,43,,43,matched:K1:9:T1,0,T1,True
1,33,43,,43,matched:K1:9:T2,0,T2,True
1,33,43,,43,matched:K1:9:T3,0,T3,True
1,67,45,,45,matched:K1:10:T1,0,T1,True
1,67,45,,45,matched:K1:10:T2,0,T2,True
1,67,45,,45,matched:K1:10:T3,0,T3,True
1,47,12,,12,matched:K1:11:T1,0,T1,True
1,47,12,,12,matched:K1:11:T2,0,T2,True
1,47,12,,12,matched:K1:11:T3,0,T3,True
1,10,30,,30,matched:K1:12:T1,0,T1,True
1,10,30,,30,matched:K1:12:T2,0,T2,True
1,10,30,,30,matched:K1:12:T3,0,T3,True
1,33,23,,23,matched:K1:13:T1,0,T1,True
1,33,23,,23,matched:K1:13:T2,0,T2,True
1,33,23,,23,matched:K1:13:T3,0,T3,True
1,14,55,,55,matched:K1:14:T1,0,T1,True
1,14,55,,55,matched:K1:14:T2,0,T2,True
1,14,55,,55,matched:K1:14:T3,0,T3,True
1,70,17,,17,matched:K1:15:T1,0,T1,True
1,70,17,,17,matched:K1:15:T2,0,T2,True
1,70,17,,17,matched:K1:15:T3,0,T3,True
1,16,27,,27,matched:K1:16:T1,0,T1,True
1,16,27,,27,matched:K1:16:T2,0,T2,True
1,16,27,,27,matched:K1:16:T3,0,T3,True
1,41,67,,67,matched:K1:17:T1,0,T1,True
1,41,67,,67,matched:K1:17:T2,0,T2,True
1,41,67,,67,matched:K1:17:T3,0,T3,True
1,18,65,,65,matched:K1:18:T1,0,T1,True
1,18,65,,65,matched:K1:18:T2,0,T2,True
1,18,65,,65,matched:K1:18:T3,0,T3,True
1,17,70,,70,matched:K1:19:T1,0,T1,True
1,17,70,,70,matched:K1:19:T2,0,T2,True
1,17,70,,70,matched:K1:19:T3,0,T3,True
1,14,16,,16,matched:K1:20:T1,0,T1,True
1,14,16,,16,matched:K1:20:T2,0,T2,True
1,14,16,,16,matched:K1:20:T3,0,T3,True
1,55,29,,29,matched:K1:21:T1,0,T1,True
1,55,29,,29,matched:K1:21:T2,0,T2,True
1,55,29,,29,matched:K1:21:T3,0,T3,True
1,50,65,,65,matched:K1:22:T1,0,T1,True
1,50,65,,65,matched:K1:22:T2,0,T2,True
1,50,65,,65,matched:K1:22:T3,0,T3,True
1,28,48,,48,matched:K1:23:T1,0,T1,True
1,28,48,,48,matched:K1:23:T2,0,T2,True
1,28,48,,48,matched:K1:23:T3,0,T3,True
1,19,42,,42,matched:K1:24:T1,0,T1,True
1,19,42,,42,matched:K1:24:T2,0,T2,True
1,19,42,,42,matched:K1:24:T3,0,T3,True
1,49,19,,19,matched:K1:25:T1,0,T1,True
1,49,19,,19,matched:K1:25:T2,0,T2,True
1,49,19,,19,matched:K1:25:T3,0,T3,True
1,62,35,,35,matched:K1:26:T1,0,T1,True
1,62,35,,35,matched:K1:26:T2,0,T2,True
1,62,35,,35,matched:K1:26:T3,0,T3,True
1,57,18,,18,matched:K1:27:T1,0,T1,True
1,57,18,,18,matched:K1:27:T2,0,T2,True
1,57,18,,18,matched:K1:27:T3,0,T3,True
1,36,20,,20,matched:K1:28:T1,0,T1,True
1,36,20,,20,matched:K1:28:T2,0,T2,True
1,36,20,,20,matched:K1:28:T3,0,T3,True
1,21,67,,67,matched:K1:29:T1,0,T1,True
1,21,67,,67,matched:K1:29:T2,0,T2,True
1,21,67,,67,matched:K1:29:T3,0,T3,True
1,31,28,,28,matched:K1:30:T1,0,T1,True
1,31,28,,28,matched:K1:30:T2,0,T2,True
1,31,28,,28,matched:K1:30:T3,0,T3,True
1,52,39,,39,matched:K1:31:T1,0,T1,True
1,52,39,,39,matched:K1:31:T2,0,T2,True
1,52,39,,39,matched:K1:31:T3,0,T3,True
1,12,10,,10,matched:K1:32:T1,0,T1,True
1,12,10,,10,matched:K1:32:T2,0,T2,True
