accuracy_delta,component,donor,donor_type,js_damage,layer,margin_damage,model_seed,recipient
-1,sa,test:l2:t0:paligned:c0:i0,matched_order2,0.692848265171051,0,23.096261978149414,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c0:i0,matched_order2,5.833268369315192e-05,0,4.627655029296875,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t0:paligned:c0:i0,matched_order2,2.854346348613035e-05,1,3.966552734375,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c0:i0,matched_order2,2.2026983970135916e-06,1,1.9346427917480469,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t0:paligned:c0:i0,matched_order2,0.00017572581418789923,2,5.688814163208008,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c0:i0,matched_order2,1.8395715528640721e-07,2,0.7486553192138672,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t0:paligned:c0:i0,matched_order2,2.5017862981258077e-07,3,0.37599945068359375,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c0:i0,matched_order2,3.721043384530276e-08,3,0.36978912353515625,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t0:paligned:c0:i0,matched_order2,5.728515439784587e-10,4,-0.044269561767578125,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c0:i0,matched_order2,6.216244408108196e-09,4,0.15700531005859375,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t0:paligned:c0:i0,matched_order2,4.24698072265528e-08,5,0.2177581787109375,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c0:i0,matched_order2,4.375259265998466e-09,5,0.05544853210449219,11,test:l3:t0:paligned:c0:i0
-1,sa,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,0.6911876797676086,0,20.942974090576172,11,test:l3:t0:paligned:c0:i0
-1,ff,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,0.6908584833145142,0,20.730756759643555,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,2.6499194063944742e-05,1,3.8894615173339844,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,4.8113091906998307e-05,1,4.4445648193359375,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,2.2645199351245537e-06,2,1.5052986145019531,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,5.715247084481234e-07,2,1.1915569305419922,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,1.6740858654884505e-07,3,0.2975273132324219,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,6.581363720670197e-08,3,0.47137451171875,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,8.085161340432023e-08,4,-0.2718086242675781,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,6.660470575070576e-08,4,0.48222923278808594,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,2.2662050014332635e-09,5,0.025951385498046875,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t3:prandomized:c15:i29,unrelated_same_semantic_target,7.835506465880826e-09,5,0.17169761657714844,11,test:l3:t0:paligned:c0:i0
-1,sa,test:l2:t0:paligned:c20:i4,cross_target,0.6931416988372803,0,37.01519203186035,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c20:i4,cross_target,7.892304711276665e-05,0,4.883033752441406,11,test:l3:t0:paligned:c0:i0
0,sa,test:l2:t0:paligned:c20:i4,cross_target,5.338442861102521e-07,1,-2.0383071899414062,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c20:i4,cross_target,2.303909923284664e-06,1,1.9279117584228516,11,test:l3:t0:paligned:c0:i0
-1,sa,test:l2:t0:paligned:c20:i4,cross_target,0.32409799098968506,2,13.976495742797852,11,test:l3:t0:paligned:c0:i0
0,ff,test:l2:t0:paligned:c20:i4,cross_target,1.9634130694612395e-06,2,1.8290538787841797,11,test:l3:t0:paligned:c0:i0
