correct,example_id,label,model_seed,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,P1:validation:442,entailed,37,60,validation,P1,60,12.10997200012207,consequent_match,1,60
1,P1:validation:736,entailed,37,60,validation,P1,60,11.88097858428955,consequent_match,1,60
1,P1:validation:452,entailed,37,60,validation,P1,60,14.134790420532227,rule_lhs_match,1,60
1,P1:validation:642,entailed,37,60,validation,P1,60,12.443782806396484,fact_match,1,60
1,P1:validation:308,entailed,37,60,validation,P1,60,13.046667098999023,rule_lhs_match,1,60
1,P1:validation:295,not_entailed,37,61,validation,P1,61,18.55116891860962,fact_match,1,61
1,P1:validation:567,not_entailed,37,61,validation,P1,61,17.678470730781555,rule_lhs_match,1,61
1,P1:validation:457,not_entailed,37,61,validation,P1,61,16.866855144500732,fact_match,1,61
1,P1:validation:278,entailed,37,60,validation,P1,60,10.59522819519043,rule_lhs_match,1,60
1,P1:validation:398,entailed,37,60,validation,P1,60,12.226555824279785,rule_lhs_match,1,60
1,P1:validation:595,not_entailed,37,61,validation,P1,61,16.283793449401855,fact_match,1,61
1,P1:validation:633,not_entailed,37,61,validation,P1,61,9.909637451171875,rule_lhs_match,1,61
1,P1:validation:252,entailed,37,60,validation,P1,60,13.964473724365234,fact_match,1,60
1,P1:validation:608,entailed,37,60,validation,P1,60,13.730950355529785,rule_lhs_match,1,60
1,P1:validation:576,entailed,37,60,validation,P1,60,11.105323791503906,fact_match,1,60
1,P1:validation:134,entailed,37,60,validation,P1,60,13.483625411987305,rule_lhs_match,1,60
1,P1:validation:663,not_entailed,37,61,validation,P1,61,18.669737935066223,rule_lhs_match,1,61
1,P1:validation:732,entailed,37,60,validation,P1,60,12.917425155639648,fact_match,1,60
1,P1:validation:670,entailed,37,60,validation,P1,60,12.674860954284668,consequent_match,1,60
1,P1:validation:7,not_entailed,37,61,validation,P1,61,17.47647202014923,fact_match,1,61
1,P1:validation:712,entailed,37,60,validation,P1,60,14.108912467956543,consequent_match,1,60
1,P1:validation:551,not_entailed,37,61,validation,P1,61,16.855281114578247,consequent_match,1,61
1,P1:validation:406,entailed,37,60,validation,P1,60,11.120506286621094,consequent_match,1,60
1,P1:validation:90,entailed,37,60,validation,P1,60,13.046667098999023,fact_match,1,60
