correct,example_id,failure_reason,label,model_seed,oracle_substitution,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,F2:validation:558,,binding,11,22=19,19,validation,F2,19,10.93274450302124,reversed_predicate_control,1,19
1,F2:validation:467,symbol_mismatch,failure,11,,28,validation,F2,28,12.745880603790283,reversed_predicate_control,1,28
1,F2:validation:257,symbol_mismatch,failure,11,,28,validation,F2,28,12.625458717346191,canonical_predicate_control,1,28
1,F2:validation:633,symbol_mismatch,failure,11,,28,validation,F2,28,11.544373512268066,canonical_predicate_control,1,28
1,F2:validation:617,symbol_mismatch,failure,11,,28,validation,F2,28,11.409814834594727,reversed_functor_control,1,28
1,F2:validation:732,,binding,11,16=22,22,validation,F2,22,13.208405494689941,canonical_predicate_control,1,22
1,F2:validation:70,,binding,11,23=27,27,validation,F2,27,10.398204803466797,canonical_predicate_control,1,27
1,F2:validation:127,symbol_mismatch,failure,11,,28,validation,F2,28,11.010719299316406,reversed_functor_control,1,28
1,F2:validation:390,,binding,11,18=19,19,validation,F2,19,10.819588661193848,canonical_functor_control,1,19
1,F2:validation:232,,binding,11,26=24,24,validation,F2,24,13.129137516021729,reversed_functor_control,1,24
1,F2:validation:593,symbol_mismatch,failure,11,,28,validation,F2,28,11.13262128829956,canonical_functor_control,1,28
1,F2:validation:395,symbol_mismatch,failure,11,,28,validation,F2,28,13.101776599884033,canonical_functor_control,1,28
1,F2:validation:284,,binding,11,17=26,26,validation,F2,26,10.983013153076172,reversed_predicate_control,1,26
1,F2:validation:650,,binding,11,16=17,17,validation,F2,17,11.905379295349121,reversed_predicate_control,1,17
1,F2:validation:133,symbol_mismatch,failure,11,,28,validation,F2,28,12.399798393249512,reversed_functor_control,1,28
1,F2:validation:726,,binding,11,24=19,19,validation,F2,19,11.473542213439941,canonical_predicate_control,1,19
1,F2:validation:695,symbol_mismatch,failure,11,,28,validation,F2,28,11.759613990783691,canonical_functor_control,1,28
1,F2:validation:84,,binding,11,27=22,22,validation,F2,22,11.320102214813232,reversed_predicate_control,1,22
1,F2:validation:80,,binding,11,22=20,20,validation,F2,20,8.98075819015503,reversed_predicate_control,1,20
1,F2:validation:728,,binding,11,23=20,20,validation,F2,20,12.336879253387451,canonical_predicate_control,1,20
1,F2:validation:208,,binding,11,20=24,24,validation,F2,24,10.473465919494629,canonical_functor_control,1,24
1,F2:validation:203,symbol_mismatch,failure,11,,28,validation,F2,28,12.736508846282959,canonical_functor_control,1,28
1,F2:validation:105,symbol_mismatch,failure,11,,28,validation,F2,28,11.946546077728271,canonical_functor_control,1,28
1,F2:validation:525,symbol_mismatch,failure,11,,28,validation,F2,28,11.455676078796387,reversed_functor_control,1,28
1,F2:validation:716,,binding,11,24=26,26,validation,F2,26,8.726905345916748,reversed_functor_control,1,26
