depth,generated_action_tokens,machine,model_forwards,prompt_tokens,result_type,run_id,tool_calls,tool_strength,total_context_tokens
1,6,M4,2,8,reference_oracle,matched:K1:0:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:0:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:0:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:1:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:1:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:1:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:2:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:2:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:2:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:3:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:3:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:3:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:4:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:4:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:4:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:5:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:5:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:5:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:6:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:6:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:6:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:7:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:7:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:7:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:8:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:8:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:8:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:9:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:9:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:9:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:10:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:10:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:10:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:11:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:11:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:11:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:12:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:12:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:12:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:13:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:13:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:13:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:14:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:14:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:14:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:15:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:15:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:15:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:16:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:16:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:16:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:17:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:17:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:17:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:18:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:18:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:18:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:19:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:19:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:19:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:20:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:20:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:20:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:21:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:21:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:21:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:22:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:22:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:22:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:23:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:23:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:23:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:24:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:24:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:24:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:25:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:25:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:25:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:26:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:26:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:26:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:27:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:27:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:27:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:28:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:28:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:28:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:29:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:29:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:29:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:30:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:30:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:30:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:31:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:31:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:31:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:32:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:32:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:32:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:33:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:33:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:33:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:34:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:34:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:34:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:35:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:35:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:35:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:36:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:36:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:36:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:37:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:37:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:37:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:38:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:38:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:38:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:39:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:39:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:39:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:40:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:40:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:40:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:41:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:41:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:41:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:42:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:42:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:42:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:43:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:43:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:43:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:44:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:44:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:44:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:45:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:45:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:45:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:46:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:46:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:46:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:47:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:47:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:47:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:48:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:48:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:48:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:49:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:49:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:49:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:50:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:50:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:50:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:51:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:51:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:51:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:52:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:52:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:52:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:53:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:53:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:53:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:54:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:54:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:54:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:55:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:55:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:55:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:56:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:56:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:56:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:57:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:57:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:57:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:58:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:58:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:58:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:59:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:59:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:59:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:60:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:60:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:60:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:61:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:61:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:61:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:62:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:62:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:62:T3,1,T3,14
1,6,M4,2,8,reference_oracle,matched:K1:63:T1,1,T1,14
1,6,M4,2,8,reference_oracle,matched:K1:63:T2,1,T2,14
1,6,M4,2,8,reference_oracle,matched:K1:63:T3,1,T3,14
2,10,M4,3,12,reference_oracle,matched:K2:0:T1,2,T1,22
