correct,example_id,failure_reason,label,model_seed,oracle_substitution,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,F2:validation:558,,binding,23,22=19,19,validation,F2,19,2.253458023071289,reversed_predicate_control,1,19
1,F2:validation:467,symbol_mismatch,failure,23,,28,validation,F2,28,12.720646381378174,reversed_predicate_control,1,28
1,F2:validation:257,symbol_mismatch,failure,23,,28,validation,F2,28,9.598649978637695,canonical_predicate_control,1,28
1,F2:validation:633,symbol_mismatch,failure,23,,28,validation,F2,28,10.280067443847656,canonical_predicate_control,1,28
1,F2:validation:617,symbol_mismatch,failure,23,,28,validation,F2,28,3.979342460632324,reversed_functor_control,1,28
1,F2:validation:732,,binding,23,16=22,22,validation,F2,22,2.483065605163574,canonical_predicate_control,1,22
1,F2:validation:70,,binding,23,23=27,27,validation,F2,27,2.1849727630615234,canonical_predicate_control,1,27
1,F2:validation:127,symbol_mismatch,failure,23,,28,validation,F2,28,8.210741519927979,reversed_functor_control,1,28
0,F2:validation:390,,binding,23,18=19,27,validation,F2,19,-3.206653594970703,canonical_functor_control,0,27
1,F2:validation:232,,binding,23,26=24,24,validation,F2,24,4.869998931884766,reversed_functor_control,1,24
1,F2:validation:593,symbol_mismatch,failure,23,,28,validation,F2,28,7.890810489654541,canonical_functor_control,1,28
1,F2:validation:395,symbol_mismatch,failure,23,,28,validation,F2,28,8.810793399810791,canonical_functor_control,1,28
1,F2:validation:284,,binding,23,17=26,26,validation,F2,26,2.4428110122680664,reversed_predicate_control,1,26
1,F2:validation:650,,binding,23,16=17,17,validation,F2,17,1.4076452255249023,reversed_predicate_control,1,17
1,F2:validation:133,symbol_mismatch,failure,23,,28,validation,F2,28,9.403894901275635,reversed_functor_control,1,28
1,F2:validation:726,,binding,23,24=19,19,validation,F2,19,1.150670051574707,canonical_predicate_control,1,19
1,F2:validation:695,symbol_mismatch,failure,23,,28,validation,F2,28,5.679320335388184,canonical_functor_control,1,28
1,F2:validation:84,,binding,23,27=22,22,validation,F2,22,2.43210506439209,reversed_predicate_control,1,22
1,F2:validation:80,,binding,23,22=20,20,validation,F2,20,3.8586292266845703,reversed_predicate_control,1,20
1,F2:validation:728,,binding,23,23=20,20,validation,F2,20,2.0389270782470703,canonical_predicate_control,1,20
1,F2:validation:208,,binding,23,20=24,24,validation,F2,24,6.018228054046631,canonical_functor_control,1,24
1,F2:validation:203,symbol_mismatch,failure,23,,28,validation,F2,28,8.646410942077637,canonical_functor_control,1,28
1,F2:validation:105,symbol_mismatch,failure,23,,28,validation,F2,28,10.493061065673828,canonical_functor_control,1,28
1,F2:validation:525,symbol_mismatch,failure,23,,28,validation,F2,28,7.333364486694336,reversed_functor_control,1,28
1,F2:validation:716,,binding,23,24=26,26,validation,F2,26,0.2894105911254883,reversed_functor_control,1,26
1,F2:validation:340,,binding,23,25=18,18,validation,F2,18,4.4159440994262695,canonical_predicate_control,1,18
1,F2:validation:490,,binding,23,23=21,21,validation,F2,21,2.143507957458496,canonical_functor_control,1,21
0,F2:validation:370,,binding,23,16=21,28,validation,F2,21,-1.038619041442871,reversed_predicate_control,0,28
1,F2:validation:486,,binding,23,18=19,19,validation,F2,19,0.9344348907470703,canonical_functor_control,1,19
1,F2:validation:34,,binding,23,16=21,21,validation,F2,21,0.8156538009643555,reversed_functor_control,1,21
1,F2:validation:252,,binding,23,19=22,22,validation,F2,22,1.9339466094970703,canonical_predicate_control,1,22
1,F2:validation:342,,binding,23,25=19,19,validation,F2,19,1.6439590454101562,canonical_predicate_control,1,19
1,F2:validation:520,,binding,23,23=24,24,validation,F2,24,4.944969177246094,reversed_functor_control,1,24
1,F2:validation:288,,binding,23,22=16,16,validation,F2,16,3.4464521408081055,canonical_functor_control,1,16
1,F2:validation:12,,binding,23,19=22,22,validation,F2,22,3.6979379653930664,canonical_functor_control,1,22
1,F2:validation:713,symbol_mismatch,failure,23,,28,validation,F2,28,9.879404544830322,reversed_functor_control,1,28
1,F2:validation:121,symbol_mismatch,failure,23,,28,validation,F2,28,11.168321132659912,reversed_functor_control,1,28
1,F2:validation:191,symbol_mismatch,failure,23,,28,validation,F2,28,9.007950782775879,reversed_predicate_control,1,28
1,F2:validation:707,symbol_mismatch,failure,23,,28,validation,F2,28,1.29144287109375,reversed_functor_control,1,28
0,F2:validation:421,symbol_mismatch,failure,23,,22,validation,F2,28,-3.174266815185547,reversed_functor_control,0,22
1,F2:validation:400,,binding,23,20=24,24,validation,F2,24,5.769628524780273,canonical_functor_control,1,24
0,F2:validation:559,symbol_mismatch,failure,23,,19,validation,F2,28,-0.3416118621826172,reversed_predicate_control,0,19
1,F2:validation:514,,binding,23,22=21,21,validation,F2,21,1.1977958679199219,reversed_functor_control,1,21
1,F2:validation:487,symbol_mismatch,failure,23,,28,validation,F2,28,7.8325958251953125,canonical_functor_control,1,28
1,F2:validation:78,,binding,23,23=19,19,validation,F2,19,1.8338804244995117,reversed_predicate_control,1,19
1,F2:validation:577,symbol_mismatch,failure,23,,28,validation,F2,28,10.1354079246521,canonical_functor_control,1,28
1,F2:validation:406,,binding,23,24=27,27,validation,F2,27,2.4413137435913086,canonical_functor_control,1,27
1,F2:validation:361,symbol_mismatch,failure,23,,28,validation,F2,28,7.953384876251221,reversed_predicate_control,1,28
1,F2:validation:115,symbol_mismatch,failure,23,,28,validation,F2,28,6.420524597167969,canonical_functor_control,1,28
1,F2:validation:349,symbol_mismatch,failure,23,,28,validation,F2,28,6.399166584014893,canonical_predicate_control,1,28
1,F2:validation:602,,binding,23,20=17,17,validation,F2,17,2.6736831665039062,reversed_functor_control,1,17
1,F2:validation:767,symbol_mismatch,failure,23,,28,validation,F2,28,9.342761993408203,reversed_predicate_control,1,28
1,F2:validation:428,,binding,23,27=26,26,validation,F2,26,4.472751617431641,reversed_functor_control,1,26
1,F2:validation:479,symbol_mismatch,failure,23,,28,validation,F2,28,6.790468215942383,reversed_predicate_control,1,28
1,F2:validation:664,,binding,23,20=24,24,validation,F2,24,5.627079963684082,reversed_predicate_control,1,24
1,F2:validation:64,,binding,23,18=24,24,validation,F2,24,4.722442150115967,canonical_predicate_control,1,24
1,F2:validation:437,symbol_mismatch,failure,23,,28,validation,F2,28,8.757081985473633,canonical_predicate_control,1,28
1,F2:validation:334,,binding,23,18=27,27,validation,F2,27,4.947916030883789,reversed_functor_control,1,27
0,F2:validation:548,,binding,23,19=26,28,validation,F2,26,-3.6995038986206055,canonical_predicate_control,0,28
1,F2:validation:543,symbol_mismatch,failure,23,,28,validation,F2,28,9.05038070678711,canonical_predicate_control,1,28
1,F2:validation:229,symbol_mismatch,failure,23,,28,validation,F2,28,3.7257213592529297,reversed_functor_control,1,28
1,F2:validation:681,symbol_mismatch,failure,23,,28,validation,F2,28,10.905343532562256,canonical_functor_control,1,28
1,F2:validation:341,symbol_mismatch,failure,23,,28,validation,F2,28,9.460649013519287,canonical_predicate_control,1,28
1,F2:validation:456,,binding,23,26=16,16,validation,F2,16,3.945812225341797,reversed_predicate_control,1,16
0,F2:validation:691,symbol_mismatch,failure,23,,25,validation,F2,28,-3.4333133697509766,canonical_functor_control,0,25
1,F2:validation:571,symbol_mismatch,failure,23,,28,validation,F2,28,8.555918216705322,reversed_predicate_control,1,28
1,F2:validation:291,symbol_mismatch,failure,23,,28,validation,F2,28,3.0027217864990234,canonical_functor_control,1,28
1,F2:validation:118,,binding,23,21=27,27,validation,F2,27,3.712124824523926,canonical_functor_control,1,27
1,F2:validation:269,symbol_mismatch,failure,23,,28,validation,F2,28,12.360036849975586,reversed_predicate_control,1,28
1,F2:validation:211,symbol_mismatch,failure,23,,28,validation,F2,28,2.7682838439941406,canonical_functor_control,1,28
1,F2:validation:108,,binding,23,18=22,22,validation,F2,22,3.2418594360351562,canonical_functor_control,1,22
1,F2:validation:363,symbol_mismatch,failure,23,,28,validation,F2,28,10.684954643249512,reversed_predicate_control,1,28
1,F2:validation:248,,binding,23,22=20,20,validation,F2,20,4.210951805114746,canonical_predicate_control,1,20
1,F2:validation:241,symbol_mismatch,failure,23,,28,validation,F2,28,8.759490966796875,canonical_predicate_control,1,28
1,F2:validation:612,,binding,23,19=22,22,validation,F2,22,1.423203468322754,reversed_functor_control,1,22
