correct,example_id,label,model_seed,prediction,split,stage,target,target_margin,template,unrestricted_correct,unrestricted_prediction
1,F1:validation:471,binding,11,19,validation,F1,19,14.903944969177246,predicate_distractor,1,19
1,F1:validation:279,binding,11,19,validation,F1,19,11.512261390686035,predicate_distractor,1,19
1,F1:validation:350,binding,11,18,validation,F1,18,11.983850479125977,reversed,1,18
1,F1:validation:637,binding,11,17,validation,F1,17,12.774967193603516,reversed,1,17
1,F1:validation:27,binding,11,19,validation,F1,19,12.126691818237305,constant_distractor,1,19
1,F1:validation:597,binding,11,25,validation,F1,25,16.778169631958008,reversed,1,25
1,F1:validation:456,binding,11,16,validation,F1,16,12.326628684997559,constant_distractor,1,16
1,F1:validation:682,binding,11,26,validation,F1,26,13.636655330657959,canonical,1,26
1,F1:validation:738,binding,11,22,validation,F1,22,11.98654556274414,reversed,1,22
1,F1:validation:132,binding,11,16,validation,F1,16,13.416375637054443,predicate_distractor,1,16
1,F1:validation:702,binding,11,22,validation,F1,22,15.059705257415771,constant_distractor,1,22
1,F1:validation:661,binding,11,17,validation,F1,17,14.247376918792725,predicate_distractor,1,17
1,F1:validation:375,binding,11,19,validation,F1,19,15.5899338722229,predicate_distractor,1,19
1,F1:validation:407,binding,11,27,validation,F1,27,8.885385513305664,reversed,1,27
1,F1:validation:448,binding,11,20,validation,F1,20,13.004720687866211,reversed,1,20
1,F1:validation:90,binding,11,22,validation,F1,22,12.694371223449707,predicate_distractor,1,22
1,F1:validation:486,binding,11,22,validation,F1,22,12.521241188049316,canonical,1,22
1,F1:validation:36,binding,11,16,validation,F1,16,13.662209510803223,predicate_distractor,1,16
1,F1:validation:599,binding,11,27,validation,F1,27,13.943527698516846,reversed,1,27
1,F1:validation:650,binding,11,18,validation,F1,18,10.47669792175293,constant_distractor,1,18
1,F1:validation:536,binding,11,24,validation,F1,24,9.843782424926758,canonical,1,24
1,F1:validation:7,binding,11,23,validation,F1,23,7.979952812194824,canonical,1,23
1,F1:validation:479,binding,11,27,validation,F1,27,8.780206680297852,predicate_distractor,1,27
1,F1:validation:649,binding,11,17,validation,F1,17,11.180388450622559,constant_distractor,1,17
1,F1:validation:643,binding,11,23,validation,F1,23,15.909474849700928,reversed,1,23
1,F1:validation:614,binding,11,18,validation,F1,18,12.188377857208252,predicate_distractor,1,18
1,F1:validation:274,binding,11,26,validation,F1,26,11.512001037597656,constant_distractor,1,26
1,F1:validation:151,binding,11,23,validation,F1,23,16.122215747833252,canonical,1,23
1,F1:validation:727,binding,11,23,validation,F1,23,15.54808235168457,canonical,1,23
1,F1:validation:60,binding,11,16,validation,F1,16,14.980746269226074,reversed,1,16
1,F1:validation:272,binding,11,24,validation,F1,24,9.364507675170898,constant_distractor,1,24
1,F1:validation:494,binding,11,18,validation,F1,18,12.47332239151001,reversed,1,18
1,F1:validation:164,binding,11,24,validation,F1,24,12.756671905517578,reversed,1,24
